Dates,#Active_Adresses,Block Size,Block Time,FeeInReward,Price,Transaction Fee,Transaction Value,#From_Adresses,Google GTrends,Hashrate,Capitalization,Median Transaction Fee,Median Transaction Value,Difficulty,#Transactions,Profiltability,Sent,Top100,Tweets
2009-01-03,,204.0,,,,,,,,,,,,1.0,,,,,
2009-01-04,,,,,,,,,,,,,,,,,,,
2009-01-05,,,,,,,,,,,,,,,,,,,
2009-01-06,,,,,,,,,,,,,,,,,,,
2009-01-07,,,,,,,,,,,,,,,,,,,
2009-01-08,,,,,,,,,,,,,,,,,,,
2009-01-09,14.0,134.0,102.857,,,,,1.0,,12576322.0,,,,1.0,,,,100.0,
2009-01-10,61.0,134.23,23.607,,,,,,,9378233.0,,,,1.0,,,,100.0,
2009-01-11,93.0,134.409,15.484,,,,,1.0,,4857511.0,,,,1.0,,,,59.524,
2009-01-12,102.0,153.372,15.319,,,,,7.0,,4567766.0,,,,1.0,7.0,,,38.168,
2009-01-13,123.0,134.667,11.707,,,,,10.0,,5654593.0,,,,1.0,,,,25.974,
2009-01-14,133.0,138.194,11.163,,,,,20.0,,6206668.0,,,,1.0,1.0,,,19.498,
2009-01-15,140.0,157.579,11.429,,,,,18.0,,6365454.0,,,,1.0,8.0,,,16.284,
2009-01-16,114.0,139.87,13.333,,,,,16.0,,6070043.0,,,,1.0,2.0,,,14.201,
2009-01-17,109.0,134.853,13.211,,,,,18.0,,5240736.0,,,,1.0,,,,12.394,
2009-01-18,111.0,138.944,13.458,,,,,16.0,,5190081.0,,,,1.0,1.0,,,11.226,
2009-01-19,133.0,151.896,12.522,,,,,22.0,,5762472.0,,,,1.0,2.0,,,11.373,
2009-01-20,123.0,143.728,12.632,,,,,21.0,,5793593.0,,,,1.0,1.0,,,10.873,
2009-01-21,105.0,137.99,14.118,,,,,22.0,,5559411.0,,,,1.0,1.0,,,10.094,
2009-01-22,102.0,147.747,15.824,,,,,12.0,,4120719.0,,,,1.0,1.0,,,10.153,
2009-01-23,95.0,148.238,17.143,,,,,18.0,,3518417.0,,,,1.0,2.0,,,10.117,
2009-01-24,212.0,141.06,7.164,,,,,22.0,,8393223.0,,,,1.0,1.0,,,9.439,
2009-01-25,193.0,136.0,7.539,,,,,14.0,,9962644.0,,,,1.0,1.0,,,8.47,
2009-01-26,117.0,158.948,15.0,,,,,17.0,,7689965.0,,,,1.0,1.0,,,9.077,
2009-01-27,101.0,139.309,14.845,,,,,8.0,,4617016.0,,,,1.0,1.0,,,8.745,
2009-01-28,112.0,134.652,12.857,,,,,23.0,,4962996.0,,,,1.0,,,,8.293,
