,Price
0,502.665
1,488.836
2,479.421
3,477.176
4,475.398
5,481.297
6,484.581
7,481.482
8,481.745
9,470.073
10,466.454
11,482.398
12,475.58
13,472.322
14,475.441
15,476.655
16,474.915
17,467.61300000000006
18,456.38
19,438.518
20,405.935
21,410.022
22,401.12
23,400.275
24,407.475
25,428.517
26,411.195
27,404.503
28,401.439
29,390.912
30,377.415
31,379.119
32,384.11800000000005
33,377.698
34,367.304
35,345.8780000000001
36,315.801
37,322.456
38,328.3130000000001
39,339.094
40,364.531
41,362.28
42,359.3880000000001
43,362.544
44,378.689
45,402.084
46,393.788
47,386.265
48,379.451
49,384.702
50,388.404
51,382.291
52,383.996
53,382.802
54,367.289
55,355.716
56,349.089
57,351.284
58,352.7940000000001
59,352.906
60,344.899
61,337.866
62,341.339
63,329.102
64,324.34
65,327.819
66,325.84
67,336.991
68,342.284
69,344.945
70,343.176
71,349.881
72,365.791
73,366.689
74,394.94
75,428.535
76,397.306
77,386.82
78,384.374
79,397.121
80,381.052
81,378.646
82,365.837
83,351.592
84,356.53
85,358.505
86,374.924
87,383.251
88,371.775
89,370.752
90,369.434
91,378.702
92,377.846
93,379.647
94,381.317
95,378.7
96,374.17
97,372.93300000000005
98,374.9380000000001
99,375.025
100,368.947
101,352.726
102,349.289
103,351.872
104,350.835
105,347.5
106,348.199
107,347.166
108,335.1690000000001
109,323.149
110,312.6620000000001
111,312.341
112,324.713
113,323.943
114,328.083
115,332.744
116,329.1880000000001
117,319.032
118,323.135
119,318.737
120,315.441
121,314.822
122,311.944
123,312.724
124,315.626
125,314.346
126,303.591
127,274.82
128,272.076
129,276.10400000000004
130,287.178
131,287.5420000000001
132,283.7940000000001
133,280.21
134,273.146
135,269.036
136,239.441
137,197.577
138,205.937
139,211.756
140,200.604
141,205.929
142,211.824
143,210.64
144,214.636
145,232.311
146,229.752
147,237.146
148,248.51
149,281.323
150,261.244
151,252.788
152,232.4
153,232.471
154,227.909
155,218.482
156,226.795
157,236.83
158,225.308
159,222.448
160,219.936
161,225.863
162,224.9
163,220.946
164,218.176
165,220.585
166,219.338
167,231.691
168,246.158
169,250.235
170,234.532
171,238.71
172,239.529
173,237.832
174,242.991
175,244.115
176,241.202
177,236.11900000000003
178,238.067
179,237.006
180,235.973
181,250.348
182,252.709
183,251.478
184,262.486
185,275.36400000000003
186,278.934
187,270.497
188,272.846
189,273.282
190,275.22700000000003
191,281.962
192,293.828
193,293.97
194,294.297
195,291.01
196,283.365
197,283.896
198,290.818
199,288.825
200,273.617
201,257.124
202,260.716
203,259.368
204,261.797
205,267.213
206,256.186
207,244.675
208,248.965
209,247.396
210,251.271
211,245.128
212,245.129
213,245.298
214,243.148
215,248.23
216,253.57
217,252.689
218,255.001
219,257.67
220,253.05900000000003
221,248.466
222,243.593
223,237.873
224,235.894
225,235.993
226,232.263
227,220.026
228,220.804
229,226.535
230,224.203
231,222.465
232,224.044
233,223.80900000000003
234,225.98
235,235.296
236,234.356
237,231.602
238,228.42
239,218.799
240,221.019
241,225.576
242,225.106
243,231.562
244,235.075
245,234.385
246,239.501
247,240.104
248,235.564
249,234.61900000000003
250,232.198
251,240.039
252,242.641
253,241.37
254,241.467
255,241.493
256,242.205
257,236.365
258,237.222
259,236.928
260,236.816
261,236.105
262,232.979
263,233.256
264,235.065
265,237.015
266,240.003
267,239.853
268,238.622
269,237.372
270,237.443
271,237.222
272,236.889
273,234.263
274,232.298
275,227.302
276,224.221
277,226.123
278,225.462
279,224.648
280,225.153
281,224.866
282,226.036
283,229.474
284,229.253
285,229.8
286,230.569
287,230.832
288,233.557
289,235.626
290,241.816
291,250.867
292,248.304
293,247.452
294,243.001
295,243.39
296,245.632
297,245.012
298,243.21400000000003
299,242.511
300,242.731
301,246.389
302,249.74
303,252.903
304,262.642
305,260.055
306,257.569
307,256.101
308,257.741
309,264.51
310,271.941
311,267.655
312,268.562
313,269.981
314,281.268
315,291.386
316,304.274
317,293.763
318,290.261
319,290.258
320,282.262
321,277.177
322,277.466
323,274.834
324,276.116
325,278.551
326,276.546
327,277.064
328,282.7290000000001
329,288.564
330,290.788
331,291.318
332,294.087
333,290.8040000000001
334,287.751
335,284.668
336,280.98
337,280.317
338,282.591
339,283.586
340,282.593
341,279.10900000000004
342,278.091
343,272.54200000000003
344,263.326
345,264.516
346,265.458
347,267.668
348,264.053
349,264.837
350,264.722
351,258.969
352,257.85400000000004
353,253.79
354,231.748
355,232.887
356,233.452
357,229.848
358,229.287
359,219.892
360,213.673
361,225.249
362,225.623
363,227.685
364,230.117
365,229.659
366,228.792
367,228.197
368,228.016
369,227.614
370,229.058
371,231.93400000000003
372,239.717
373,240.53
374,243.394
375,240.462
376,238.539
377,239.916
378,238.114
379,232.617
380,230.218
381,230.152
382,228.705
383,230.686
384,233.043
385,231.588
386,230.94
387,228.015
388,228.689
389,230.404
390,232.239
391,235.295
392,234.051
393,233.409
394,237.125
395,237.937
396,236.866
397,236.899
398,237.726
399,238.381
400,238.794
401,238.724
402,243.136
403,245.262
404,243.701
405,243.629
406,244.579
407,245.811
408,246.638
409,247.404
410,251.284
411,254.488
412,259.868
413,269.135
414,266.726
415,263.775
416,267.214
417,268.111
418,271.908
419,276.61
420,279.731
421,289.505
422,284.408
423,292.005
424,301.252
425,309.563
426,324.762
427,321.941
428,316.3590000000001
429,335.73800000000006
430,384.145
431,449.287
432,401.566
433,372.194
434,383.625
435,382.2
436,374.932
437,365.764
438,315.768
439,327.694
440,333.68300000000005
441,333.4480000000001
442,328.106
443,322.131
444,334.5019999999999
445,333.66
446,330.832
447,319.889
448,324.813
449,324.123
450,322.867
451,320.608
452,322.3640000000001
453,342.4840000000001
454,355.977
455,354.843
456,360.479
457,376.271
458,367.19
459,355.655
460,361.925
461,359.977
462,374.789
463,393.696
464,393.935
465,395.33
466,417.576
467,415.562
