,Price
0,488.836
1,479.421
2,477.176
3,475.398
4,481.297
5,484.581
6,481.482
7,481.745
8,470.073
9,466.454
10,482.398
11,475.58
12,472.322
13,475.441
14,476.655
15,474.915
16,467.61300000000006
17,456.38
18,438.518
19,405.935
20,410.022
21,401.12
22,400.275
23,407.475
24,428.517
25,411.195
26,404.503
27,401.439
28,390.912
29,377.415
30,379.119
31,384.11800000000005
32,377.698
33,367.304
34,345.8780000000001
35,315.801
36,322.456
37,328.3130000000001
38,339.094
39,364.531
40,362.28
41,359.3880000000001
42,362.544
43,378.689
44,402.084
45,393.788
46,386.265
47,379.451
48,384.702
49,388.404
50,382.291
51,383.996
52,382.802
53,367.289
54,355.716
55,349.089
56,351.284
57,352.7940000000001
58,352.906
59,344.899
60,337.866
61,341.339
62,329.102
63,324.34
64,327.819
65,325.84
66,336.991
67,342.284
68,344.945
69,343.176
70,349.881
71,365.791
72,366.689
73,394.94
74,428.535
75,397.306
76,386.82
77,384.374
78,397.121
79,381.052
80,378.646
81,365.837
82,351.592
83,356.53
84,358.505
85,374.924
86,383.251
87,371.775
88,370.752
89,369.434
90,378.702
91,377.846
92,379.647
93,381.317
94,378.7
95,374.17
96,372.93300000000005
97,374.9380000000001
98,375.025
99,368.947
100,352.726
101,349.289
102,351.872
103,350.835
104,347.5
105,348.199
106,347.166
107,335.1690000000001
108,323.149
109,312.6620000000001
110,312.341
111,324.713
112,323.943
113,328.083
114,332.744
115,329.1880000000001
116,319.032
117,323.135
118,318.737
119,315.441
120,314.822
121,311.944
122,312.724
123,315.626
124,314.346
125,303.591
126,274.82
127,272.076
128,276.10400000000004
129,287.178
130,287.5420000000001
131,283.7940000000001
132,280.21
133,273.146
134,269.036
135,239.441
136,197.577
137,205.937
138,211.756
139,200.604
140,205.929
141,211.824
142,210.64
143,214.636
144,232.311
145,229.752
146,237.146
147,248.51
148,281.323
149,261.244
150,252.788
151,232.4
152,232.471
153,227.909
154,218.482
155,226.795
156,236.83
157,225.308
158,222.448
159,219.936
160,225.863
161,224.9
162,220.946
163,218.176
164,220.585
165,219.338
166,231.691
167,246.158
168,250.235
169,234.532
170,238.71
171,239.529
172,237.832
173,242.991
174,244.115
175,241.202
176,236.11900000000003
177,238.067
178,237.006
179,235.973
180,250.348
181,252.709
182,251.478
183,262.486
184,275.36400000000003
185,278.934
186,270.497
187,272.846
188,273.282
189,275.22700000000003
190,281.962
191,293.828
192,293.97
193,294.297
194,291.01
195,283.365
196,283.896
197,290.818
198,288.825
199,273.617
200,257.124
201,260.716
202,259.368
203,261.797
204,267.213
205,256.186
206,244.675
207,248.965
208,247.396
209,251.271
210,245.128
211,245.129
212,245.298
213,243.148
214,248.23
215,253.57
216,252.689
217,255.001
218,257.67
219,253.05900000000003
220,248.466
221,243.593
222,237.873
223,235.894
224,235.993
225,232.263
226,220.026
227,220.804
228,226.535
229,224.203
230,222.465
231,224.044
232,223.80900000000003
233,225.98
234,235.296
235,234.356
236,231.602
237,228.42
238,218.799
239,221.019
240,225.576
241,225.106
242,231.562
243,235.075
244,234.385
245,239.501
246,240.104
247,235.564
248,234.61900000000003
249,232.198
250,240.039
251,242.641
252,241.37
253,241.467
254,241.493
255,242.205
256,236.365
257,237.222
258,236.928
259,236.816
260,236.105
261,232.979
262,233.256
263,235.065
264,237.015
265,240.003
266,239.853
267,238.622
268,237.372
269,237.443
270,237.222
271,236.889
272,234.263
273,232.298
274,227.302
275,224.221
276,226.123
277,225.462
278,224.648
279,225.153
280,224.866
281,226.036
282,229.474
283,229.253
284,229.8
285,230.569
286,230.832
287,233.557
288,235.626
289,241.816
290,250.867
291,248.304
292,247.452
293,243.001
294,243.39
295,245.632
296,245.012
297,243.21400000000003
298,242.511
299,242.731
300,246.389
301,249.74
302,252.903
