Date,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Cleared Volume (MW),Finale Scheduled Volume (MW),MCP (Rs/MWh)
2020-01-01 00:00:00,5225.8,20520.9,4828.6,4828.6,4828.6,2049.01
2020-01-01 00:15:00,5256.0,21183.2,4858.8,4858.8,4858.8,2029.46
2020-01-01 00:30:00,5183.3,22123.8,4786.2,4786.2,4786.2,2018.48
2020-01-01 00:45:00,5186.7,22804.6,4869.48,4869.48,4869.48,2000.04
2020-01-01 01:00:00,4915.1,24342.8,4610.6,4610.6,4610.6,1999.09
2020-01-01 01:15:00,4863.4,24736.2,4558.9,4558.9,4558.9,1997.5
2020-01-01 01:30:00,4811.8,25813.4,4507.2,4507.2,4507.2,1982.36
2020-01-01 01:45:00,4812.7,26240.9,4508.2,4508.2,4508.2,1967.34
2020-01-01 02:00:00,4693.7,26912.6,4409.5,4409.5,4409.5,1942.81
2020-01-01 02:15:00,4690.7,27090.2,4406.8,4406.8,4406.8,1940.25
2020-01-01 02:30:00,4694.8,27249.2,4411.1,4411.1,4411.1,1929.68
2020-01-01 02:45:00,4694.5,27272.9,4411.3,4411.3,4411.3,1929.59
2020-01-01 03:00:00,4691.2,27258.2,4413.8,4413.8,4413.8,1929.61
2020-01-01 03:15:00,4686.6,27259.8,4416.9,4416.9,4416.9,1903.86
2020-01-01 03:30:00,4691.5,27077.9,4415.1,4415.1,4415.1,1922.02
2020-01-01 03:45:00,4741.4,26934.3,4470.45,4470.45,4470.45,1920.23
2020-01-01 04:00:00,4832.8,26103.0,4544.61,4544.61,4544.61,1920.17
2020-01-01 04:15:00,4901.6,25620.4,4598.6,4598.6,4598.6,1959.31
2020-01-01 04:30:00,4946.5,24888.6,4643.8,4643.8,4643.8,1997.56
2020-01-01 04:45:00,4980.2,24458.0,4677.5,4677.5,4677.5,1997.92
2020-01-01 05:00:00,5073.3,20979.1,4666.6,4666.6,4666.6,2075.2
2020-01-01 05:15:00,4830.5,19779.3,4423.2,4423.2,4423.2,2099.57
2020-01-01 05:30:00,4529.8,17953.2,4078.3,4078.3,4078.3,2245.47
2020-01-01 05:45:00,4885.2,17151.6,4142.2,4142.2,4142.2,2379.44
2020-01-01 06:00:00,5377.1,15856.5,4709.7,4709.7,4709.7,2659.44
2020-01-01 06:15:00,5710.0,14199.9,5033.1,5033.1,5033.1,2659.41
2020-01-01 06:30:00,6255.9,13916.9,5429.0,5429.0,5429.0,2659.98
2020-01-01 06:45:00,6761.7,12952.0,5994.4,5994.4,5994.4,2898.44
2020-01-01 07:00:00,8201.7,13002.7,7305.67,7305.67,7305.67,2999.13
2020-01-01 07:15:00,8750.6,12468.6,7652.6,7652.6,7652.6,3139.32
2020-01-01 07:30:00,9363.5,12007.3,8018.6,8018.6,8018.6,3502.27
2020-01-01 07:45:00,9660.8,11429.7,8319.8,8319.8,8319.8,3500.81
2020-01-01 08:00:00,10407.3,11172.4,8808.0,8808.0,8808.0,3700.18
2020-01-01 08:15:00,10574.3,10928.1,8875.8,8875.8,8875.8,3700.18
2020-01-01 08:30:00,11955.9,10518.7,9365.6,9365.6,9365.6,3845.71
2020-01-01 08:45:00,12217.0,10043.4,9220.3,9220.3,9220.3,4170.28
2020-01-01 09:00:00,12264.0,9939.2,9429.6,9429.6,9429.6,4259.85
2020-01-01 09:15:00,12412.7,9655.0,9259.0,9259.0,9259.0,4259.91
2020-01-01 09:30:00,12404.3,9658.3,9289.4,9289.4,9289.4,4300.38
2020-01-01 09:45:00,12416.3,9575.7,9206.8,9206.8,9206.8,4500.18
2020-01-01 10:00:00,12548.1,9718.2,9234.3,9234.3,9234.3,4300.05
2020-01-01 10:15:00,12394.1,9605.2,9019.3,9019.3,9019.3,4250.94
2020-01-01 10:30:00,12196.1,9655.5,9023.6,9023.6,9023.6,3899.79
2020-01-01 10:45:00,12191.1,9523.8,8887.9,8887.9,8887.9,4200.09
2020-01-01 11:00:00,11845.3,9295.8,8477.8,8477.8,8477.8,3800.21
